Catalog Number,Class,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Subgenus,Species,Subspecies,Author,Year,Country,State,County,Locality,Other Descriptor,Body of Water,Latitude,Longitude,Elevation,GBIF Precision,Collected Beginning,Collected Ending,Collector,Method,Habitat,Identified by,Year Identified,Type,Type Name,Male,Female,Immature,Pupa,Exuvia,Adult,Other,Age Unknown,Preparation,Created,Modified
Ephemeroptera 4697,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,United States,Illinois,Union,Anna, , ,37.46028,-89.24694, ,1000,05/06/1925, ,T.H. Frison, , , , , , , , , , , , , , ,Vial,11/5/1998 12:00:00 AM,4/9/2008 12:00:00 AM
Ephemeroptera 4698,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,United States,Illinois,Union,Anna, , ,37.46028,-89.24694, ,1000,05/06/1925, ,T.H. Frison, , , , , , , , , , , , , , ,Vial,11/5/1998 12:00:00 AM,4/9/2008 12:00:00 AM
Ephemeroptera 4734,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,United States,Illinois,Union,Anna, , ,37.46028,-89.24694, ,1000,07/22/1938, ,"B.D. Burks, Boesel", , , , , , , , , , , , , , ,Vial,11/12/1998 12:00:00 AM,4/9/2008 12:00:00 AM
Ephemeroptera 13241,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,United States, , ,No other data, , , , , , , , , , , , , , , , , ,44, , , , , ,Vial,9/16/1999 12:00:00 AM,4/9/2008 12:00:00 AM
Ephemeroptera 13243,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,United States, , ,No other data, , , , , , , , , , , , , , , , , ,1, , , , , ,Vial,9/16/1999 12:00:00 AM,4/9/2008 12:00:00 AM
Ephemeroptera 13245,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,United States, , ,No other data, , , , , , , , , , , , , , , , , ,2, , , , , ,Vial,9/16/1999 12:00:00 AM,4/9/2008 12:00:00 AM
Ephemeroptera 13250,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,United States, , ,No other data, , , , , , , , , , , , , , , , , ,5, , , , , ,Vial,9/16/1999 12:00:00 AM,4/9/2008 12:00:00 AM
Loan Invoice 535,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,Unknown, , , , , , , , , , , , , , , , , , , , , , , ,19, , ,Vial,7/25/2006 12:00:00 AM,3/29/2012 12:00:00 AM
Loan Invoice 532,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,Unknown, , , , , , , , , , , , , , , , , , , , , , , ,7, , ,Vial,7/25/2006 12:00:00 AM,3/6/2012 12:00:00 AM
Loan Invoice 533,Insecta,Ephemeroptera, , ,Baetidae, , ,Baetis, , , , , ,Unknown, , , , , , , , , , , , , , , , ,Type, , , , , , ,36, , ,Vial,7/25/2006 12:00:00 AM,3/29/2012 12:00:00 AM
