Catalog Number,Class,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Subgenus,Species,Subspecies,Author,Year,Country,State,County,Locality,Other Descriptor,Body of Water,Latitude,Longitude,Elevation,GBIF Precision,Collected Beginning,Collected Ending,Collector,Method,Habitat,Identified by,Year Identified,Type,Type Name,Male,Female,Immature,Pupa,Exuvia,Adult,Other,Age Unknown,Preparation,Created,Modified
Trichoptera 23617,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche, ,cuanis, ,HH Ross,1938,United States,Illinois,Will,Wilmington, ,Kankakee River,41.30575,-88.15138, ,1000,05/17/1937, ,"H.H. Ross, B.D. Burks", , , , ,Paratype,Hydropsyche cuanis Ross,40, , , , , , , ,Vial,7/6/1999 12:00:00 AM,5/14/2014 12:00:00 AM
Trichoptera 23628,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche, ,cuanis, ,HH Ross,1938,United States,Illinois,Will,Wilmington, ,Kankakee River,41.30575,-88.15138, ,1000,05/17/1935, ,"H.H. Ross, C.O. Mohr", , , , ,Paratype,Hydropsyche cuanis Ross,2,2, , , , , , ,Vial,7/6/1999 12:00:00 AM,5/14/2014 12:00:00 AM
Trichoptera 23629,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche, ,cuanis, ,HH Ross,1938,United States,Illinois,Will,Wilmington, ,Kankakee River,41.30575,-88.15138, ,1000,05/17/1935, ,"H.H. Ross, C.O. Mohr", , , , ,Paratype,Hydropsyche cuanis Ross,2,2, , , , , , ,Vial,7/6/1999 12:00:00 AM,5/14/2014 12:00:00 AM
Trichoptera 23630,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche, ,cuanis, ,HH Ross,1938,United States,Illinois,Will,Wilmington, ,Kankakee River,41.30575,-88.15138, ,1000,05/17/1937, ,"H.H. Ross, B.D. Burks", , , , ,Paratype,Hydropsyche cuanis Ross, ,34, , , , , , ,Vial,7/6/1999 12:00:00 AM,5/14/2014 12:00:00 AM
Trichoptera 23631,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche, ,cuanis, ,HH Ross,1938,United States,Illinois,Will,Wilmington, ,Kankakee River,41.30575,-88.15138, ,1000,05/17/1937, ,"H.H. Ross, B.D. Burks", , , , ,Paratype,Hydropsyche cuanis Ross, ,3, , , , , , ,Vial,7/6/1999 12:00:00 AM,5/14/2014 12:00:00 AM
Trichoptera 23633,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche, ,cuanis, ,HH Ross,1938,United States,Illinois,Will,Wilmington, ,Kankakee River,41.30575,-88.15138, ,1000,05/17/1937, ,"H.H. Ross, B.D. Burks", , , , ,Paratype,Hydropsyche cuanis Ross, ,1, , , , , , ,Vial,7/6/1999 12:00:00 AM,9/4/2014 12:00:00 AM
Trichoptera 23634,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche, ,cuanis, ,HH Ross,1938,United States,Illinois,Will,Wilmington, ,Kankakee River,41.30575,-88.15138, ,1000,05/27/1935, ,"H.H. Ross, C.O. Mohr", , , , ,Paratype,Hydropsyche cuanis Ross,19, , , , , , , ,Vial,7/6/1999 12:00:00 AM,5/14/2014 12:00:00 AM
Trichoptera 23638,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche, ,cuanis, ,HH Ross,1938,United States,Illinois,Will,Wilmington, ,Kankakee River,41.30575,-88.15138, ,1000,05/27/1935, ,"H.H. Ross, C.O. Mohr", , , , ,Paratype,Hydropsyche cuanis Ross,14, , , , , , , ,Vial,7/6/1999 12:00:00 AM,5/14/2014 12:00:00 AM
Trichoptera 23639,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche, ,cuanis, ,HH Ross,1938,United States,Illinois,Will,Wilmington, ,Kankakee River,41.30575,-88.15138, ,1000,05/27/1935, ,"H.H. Ross, C.O. Mohr", , , , ,Paratype,Hydropsyche cuanis Ross, ,3, , , , , , ,Vial,7/6/1999 12:00:00 AM,5/14/2014 12:00:00 AM
Trichoptera 23640,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche, ,cuanis, ,HH Ross,1938,United States,Michigan,Branch,Bronson, ,Prairie River,41.83941,-85.19468, ,1000,05/19/1936, ,H.H. Ross, , , , ,Paratype,Hydropsyche cuanis Ross,6, , , , , , , ,Vial,7/6/1999 12:00:00 AM,4/9/2008 12:00:00 AM
Trichoptera 23641,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche, ,cuanis, ,HH Ross,1938,United States,Illinois,Will,Wilmington, , ,41.30778,-88.14667, ,10000,05/01/1935, ,"H.H. Ross, C.O. Mohr", , , , ,Paratype,Hydropsyche cuanis Ross, , , , , ,11, , ,Vial,7/6/1999 12:00:00 AM,9/4/2014 12:00:00 AM
Trichoptera 23642,Insecta,Trichoptera, , ,Hydropsychidae, , ,Hydropsyche, ,cuanis, ,HH Ross,1938,United States,Illinois,McHenry,Spring Grove, ,Nippersink Creek,42.44078,-88.23729, ,1000,05/14/1936, ,"H.H. Ross, C.O. Mohr", , , , ,Paratype,Hydropsyche cuanis Ross,3,1, , , , , , ,Vial,7/6/1999 12:00:00 AM,9/4/2014 12:00:00 AM
