Catalog Number,Class,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Subgenus,Species,Subspecies,Author,Year,Country,State,County,Locality,Other Descriptor,Body of Water,Latitude,Longitude,Elevation,GBIF Precision,Collected Beginning,Collected Ending,Collector,Method,Habitat,Identified by,Year Identified,Type,Type Name,Male,Female,Immature,Pupa,Exuvia,Adult,Other,Age Unknown,Preparation,Created,Modified
 ,Insecta,Diptera, ,Tipuloidea,Tipulidae, , ,Tipula, ,canadensis, ,Loew,1864, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Insecta,Diptera, ,Tipuloidea,Tipulidae, , ,Tipula, ,ignobilis, ,Loew,1863, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Insecta,Diptera, ,Tipuloidea,Tipulidae, , ,Tipula, ,bicornis, ,Forbes,1890, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Insecta,Diptera, ,Tipuloidea,Tipulidae, , ,Tipula, ,valida,valida,Loew,1863, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Insecta,Diptera, ,Tipuloidea,Tipulidae, , ,Tipula, ,furca, ,Walker,1848, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Insecta,Diptera, ,Tipuloidea,Tipulidae, , ,Tipula, ,coloradensis, ,Doane,1911, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Insecta,Diptera, ,Tipuloidea,Tipulidae, , ,Tipula, ,fragilis, ,Loew,1863, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Insecta,Diptera, ,Tipuloidea,Tipulidae, , ,Tipula, ,flavibasis, ,Alexander,1918, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Insecta,Diptera, ,Tipuloidea,Tipulidae, , ,Tipula, ,dejecta, ,Walker,1856, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Insecta,Diptera, ,Tipuloidea,Tipulidae, , ,Tipula, ,tuscarora, ,Alexander,1915, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Insecta,Diptera, ,Tipuloidea,Tipulidae, , ,Tipula, ,submaculata, ,Loew,1863, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Insecta,Diptera, ,Tipuloidea,Tipulidae, , ,Tipula, ,dorsimacula, ,Walker,1848, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Insecta,Diptera, , ,Tipulidae, , ,Tipula, ,sulphurea, ,Doane,1901, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Insecta,Diptera, ,Tipuloidea,Tipulidae, , ,Tipula, ,streptocera,streptocera,Doane,1901, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Insecta,Diptera, ,Tipuloidea,Tipulidae, , ,Tipula, ,serta, ,Loew,1863, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Insecta,Diptera, ,Tipuloidea,Tipulidae, , ,Tipula, ,duplex, ,Walker,1848, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Insect Collection 658773,Insecta,Diptera, , ,Tipulidae, , ,Tipula, , , , , ,United States,Illinois,Bond,4.5 km NNW Greenville at Ayers Rd., ,tributary to East Fork Shoal Creek,38.93051,-89.42921, ,10,06/24/2016, ,E.J. South, ,Stream,E. J. South,2017, , , , , , , ,1, , ,Vial,12/13/2018 12:00:00 AM,12/18/2018 12:00:00 AM
